victim_set,victim_line_count,probe_set,count,sum_probe_time
1,6,43,1773,53877
1,6,44,1773,53967
1,6,45,1773,53601
1,6,46,1773,53876
1,6,47,1773,53827
1,6,48,1773,54030
1,6,49,1773,53917
1,6,50,1773,53948
1,6,51,1773,53975
1,6,52,1773,53990
1,6,53,1773,53839
1,6,54,1773,54162
1,6,55,1773,53887
1,6,56,1773,53793
1,6,57,1773,53811
1,6,58,1773,53921
1,6,59,1773,53921
1,6,60,1773,53891
1,6,61,1773,53932
1,6,62,1772,53911
1,6,63,1773,105323
1,7,0,1749,105062
1,7,1,1749,105215
1,7,2,1749,104788
1,7,3,1749,104636
1,7,4,1749,53036
1,7,5,1749,53179
1,7,6,1749,53066
1,7,7,1749,83646
1,7,8,1749,95661
1,7,9,1749,69028
1,7,10,1749,59550
1,7,11,1749,53212
1,7,12,1749,52993
1,7,13,1749,53081
1,7,14,1749,53212
1,7,15,1749,53003
1,7,16,1749,52150
1,7,17,1749,53199
1,7,18,1749,104723
1,7,19,1749,113367
1,7,20,1749,104910
1,7,21,1749,104836
1,7,22,1749,104834
1,7,23,1749,105517
1,7,24,1749,105676
1,7,25,1749,104097
1,7,26,1749,105342
1,7,27,1749,53124
1,7,28,1749,58038
1,7,29,1749,105127
1,7,30,1749,101037
1,7,31,1749,53186
1,7,32,1749,53121
1,7,33,1749,53113
1,7,34,1749,53135
1,7,35,1749,53089
1,7,36,1749,53196
1,7,37,1749,53179
1,7,38,1749,53133
1,7,39,1749,53438
1,7,40,1749,53192
1,7,41,1749,53118
1,7,42,1749,53231
1,7,43,1749,53079
1,7,44,1749,53231
1,7,45,1749,53091
1,7,46,1749,53259
1,7,47,1749,53068
1,7,48,1749,53078
1,7,49,1749,53215
1,7,50,1749,53091
1,7,51,1749,53064
1,7,52,1749,53551
1,7,53,1749,53146
1,7,54,1749,53364
1,7,55,1749,53041
1,7,56,1749,53154
1,7,57,1749,53342
1,7,58,1749,53248
1,7,59,1749,53135
1,7,60,1749,53602
1,7,61,1749,53117
1,7,62,1749,53148
1,7,63,1749,104345
1,8,0,1778,106701
1,8,1,1778,106597
1,8,2,1778,106189
1,8,3,1778,105971
1,8,4,1778,53878
1,8,5,1778,53929
1,8,6,1778,53916
1,8,7,1778,86370
1,8,8,1778,97326
1,8,9,1778,71008
1,8,10,1778,60754
1,8,11,1778,53966
1,8,12,1778,53901
1,8,13,1778,53865
1,8,14,1778,53846
1,8,15,1778,53882
1,8,16,1778,53084
1,8,17,1778,53942
1,8,18,1778,106453
1,8,19,1778,115143
1,8,20,1778,106665
1,8,21,1778,106684
1,8,22,1778,95150
1,8,23,1778,53720
1,8,24,1778,53956
1,8,25,1778,53868
1,8,26,1778,53868
1,8,27,1778,53705
1,8,28,1778,107028
1,8,29,1778,116738
1,8,30,1778,106198
1,8,31,1778,107745
1,8,32,1778,107435
1,8,33,1778,106429
1,8,34,1778,54015
1,8,35,1778,53901
1,8,36,1778,106961
1,8,37,1778,53858
1,8,38,1778,58847
1,8,39,1778,53784
1,8,40,1778,53857
1,8,41,1778,53766
1,8,42,1778,53867
1,8,43,1778,53906
1,8,44,1778,53896
1,8,45,1778,53942
1,8,46,1778,54128
1,8,47,1778,53927
1,8,48,1778,53933
1,8,49,1778,53794
1,8,50,1778,53925
1,8,51,1778,54375
1,8,52,1778,53893
1,8,53,1778,53884
1,8,54,1778,54056
1,8,55,1778,53922
1,8,56,1778,53832
1,8,57,1778,53805
1,8,58,1778,54006
1,8,59,1778,53958
1,8,60,1778,53921
1,8,61,1778,53995
1,8,62,1778,53872
1,8,63,1778,105806
2,0,0,1734,104095
2,0,1,1734,104318
2,0,2,1734,85976
2,0,3,1734,102368
2,0,4,1734,52623
2,0,5,1734,53049
2,0,6,1734,52979
