victim_set,victim_line_count,probe_set,count,sum_probe_time
0,7,58,3469,211480
0,7,59,3469,210736
0,7,60,3469,209507
0,7,61,3466,209971
0,7,62,3469,214152
0,7,63,3467,209291
0,8,0,3480,210107
0,8,1,3481,212780
0,8,2,3481,208662
0,8,3,3481,208992
0,8,4,3479,209265
0,8,5,3481,212077
0,8,6,3478,209905
0,8,7,3480,209344
0,8,8,3480,211151
0,8,9,3479,212156
0,8,10,3479,210626
0,8,11,3476,210448
0,8,12,3477,211249
0,8,13,3479,212985
0,8,14,3480,210668
0,8,15,3481,212241
0,8,16,3480,210928
0,8,17,3478,211552
0,8,18,3481,215250
0,8,19,3480,209199
0,8,20,3480,210346
0,8,21,3481,209902
0,8,22,3479,209528
0,8,23,3480,209429
0,8,24,3480,211453
0,8,25,3480,213524
0,8,26,3481,209830
0,8,27,3481,209757
0,8,28,3480,210301
0,8,29,3480,212107
0,8,30,3479,210190
0,8,31,3481,211506
0,8,32,3479,212897
0,8,33,3481,210592
0,8,34,3478,212133
0,8,35,3478,210573
0,8,36,3480,210633
0,8,37,3478,211491
0,8,38,3479,210304
0,8,39,3478,212861
0,8,40,3481,211937
0,8,41,3475,210790
0,8,42,3480,213931
0,8,43,3479,212434
0,8,44,3481,211348
0,8,45,3479,211743
0,8,46,3478,211737
0,8,47,3480,210513
0,8,48,3481,210893
0,8,49,3480,213458
0,8,50,3478,210256
0,8,51,3480,209756
0,8,52,3481,212628
0,8,53,3479,213294
0,8,54,3480,211827
0,8,55,3477,212547
0,8,56,3480,209310
0,8,57,3479,210967
0,8,58,3480,209954
0,8,59,3480,209365
0,8,60,3481,209596
0,8,61,3480,212626
0,8,62,3481,210101
0,8,63,3480,208912
1,0,0,3436,204377
1,0,1,3436,206990
1,0,2,3436,204988
1,0,3,3436,204957
1,0,4,3435,205219
1,0,5,3434,207070
1,0,6,3436,205890
1,0,7,3436,205601
1,0,8,3434,207565
1,0,9,3435,208670
1,0,10,3435,207413
1,0,11,3434,207687
1,0,12,3433,207658
1,0,13,3432,207123
1,0,14,3434,206623
1,0,15,3436,206701
1,0,16,3434,207498
1,0,17,3435,207989
1,0,18,3432,209372
1,0,19,3436,205852
1,0,20,3436,207257
1,0,21,3435,206038
1,0,22,3435,206355
1,0,23,3435,206181
1,0,24,3433,206807
1,0,25,3433,208139
1,0,26,3436,205536
1,0,27,3436,206379
1,0,28,3434,206165
1,0,29,3432,208746
1,0,30,3434,205954
1,0,31,3436,208366
1,0,32,3433,208869
1,0,33,3433,206326
