victim_set,victim_line,probe_set,count,sum_probe_time
0,7,54,1210,161508
0,7,55,1210,156500
0,7,56,1209,155474
0,7,57,1210,245178
0,7,58,1210,249550
0,7,59,1210,249680
0,7,60,1210,249464
0,7,61,1210,249402
0,7,62,1210,270400
0,7,63,1210,254558
0,8,0,1207,247564
0,8,1,1207,250362
0,8,2,1207,254188
0,8,3,1206,248750
0,8,4,1206,248704
0,8,5,1207,248874
0,8,6,1207,249022
0,8,7,1206,247360
0,8,8,1207,249110
0,8,9,1207,165286
0,8,10,1207,165672
0,8,11,1207,155096
0,8,12,1207,155390
0,8,13,1206,155894
0,8,14,1207,155334
0,8,15,1206,155776
0,8,16,1207,248044
0,8,17,1207,156248
0,8,18,1207,155440
0,8,19,1207,155382
0,8,20,1207,155288
0,8,21,1207,155788
0,8,22,1207,155930
0,8,23,1207,155272
0,8,24,1207,155778
0,8,25,1207,156036
0,8,26,1207,253010
0,8,27,1207,247604
0,8,28,1207,155340
0,8,29,1207,248170
0,8,30,1207,155806
0,8,31,1207,155450
0,8,32,1207,154986
0,8,33,1207,155438
0,8,34,1207,155948
0,8,35,1207,155556
0,8,36,1207,155852
0,8,37,1207,155580
0,8,38,1207,155446
0,8,39,1207,156242
0,8,40,1207,155994
0,8,41,1207,158328
0,8,42,1207,155062
0,8,43,1207,199946
0,8,44,1207,158250
0,8,45,1207,155930
0,8,46,1207,248062
0,8,47,1207,155224
0,8,48,1207,158388
0,8,49,1207,155866
0,8,50,1207,202526
0,8,51,1207,155348
0,8,52,1207,155446
0,8,53,1207,155942
